Card Name,Primary Keywords,Supporting Keywords,File Name,Variations
The Fool,"rubber duck with jester hat, yellow and orange hues, serene sky","star markings, small companion duck, rock base",the_fool.jpg,"[""The Fool""]"
The Magician,"three ghostly faces, ethereal smoke, man with closed eyes","dark background, Roman numeral I, flowing composition",the_magician.jpg,"[""The Magician""]"
The High Priestess,"golden crescent moon headpiece, skeletal figure, black background","minimalistic lines, golden lettering, starry design",the_high_priestess.jpg,"[""The High Priestess""]"
The Empress,"cat seated on red throne, flowing water, vibrant trees","pomegranate-patterned dress, wheat stalks, crown of flowers",the_empress.jpg,"[""The Empress""]"
The Emperor,"seated man with sword, glowing golden halo, fiery tones","regal posture, intricate background, intense lighting",the_emperor.jpg,"[""The Emperor""]"
The Hierophant,"bishop-like figure, red robes, ornate throne","two kneeling figures, golden staff, medieval style",the_hierophant.jpg,"[""The Hierophant""]"
The Chariot,"simple line art, pink background, chariot with wheels","curtains on chariot, hand reaching out, minimalist design",the_chariot.jpg,"[""The Chariot""]"
Strength,"snake coiled around a black bear, golden and red-striped globe, checkered border","autumn leaves, alligator base, words indicating qualities (e.g., 'self-mastery', 'control')",strength.jpg,"[""Strength""]"
The Hermit,"robed figure with staff, intricate patterns, red rope","horned headpiece, spirals and circles, black-and-white theme",the_hermit.jpg,"[""The Hermit""]"
Justice,"Figure seated with scales, Red circular background, Abstract style","Roman numeral XI, Balanced composition, Simplistic lines",justice.jpg,"[""Justice""]"
The Hanged Man,"outlined cat figure in circle, starry background, large central cross","ornate patterns, number 12, small surrounding stars",the_hanged_man.jpg,"[""The Hanged Man""]"
Temperance,"robed figure with sun halo, flowing water between cups, rocky background","flowers on the ground, river stream, sun rays extending outward",temperance.jpg,"[""Temperance""]"
The Devil,"goat-headed figure, red suit, fragmented red and black background","smoking cigarette, holding glass, collage elements",the_devil.jpg,"[""The Devil""]"
The Tower,"tall brick tower, red lightning bolt cracking through, gradient background with dots and lines","monochrome tones with red accents, circular eclipse-like object at the top, '#16' in corner",the_tower.jpg,"[""The Tower""]"
The Star,"radiant yellow star, geometric burst, deep purple and blue","small glowing dots, layered pattern, central focus",the_star.jpg,"[""The Star""]"
The Moon,"crescent moon with face, surreal landscape, crowned figure","golden circle, hands with fingers crossed, Roman numeral XVIII",the_moon.jpg,"[""The Moon""]"
The Sun,"large yellow sun with prominent rays, white llama with peaceful expression, pink and yellow flowers in background","bold 'XIX' at the top, pastel purple and yellow background, 'THE SUN' in purple text at bottom",the_sun.jpg,"[""The Sun""]"
Judgement,"Abstract bird-like figure, Blue and purple flames, Surreal colors","Word 'Judgement' cut out, Dreamlike texture, Soft gradients",judgement.jpg,"[""Judgement""]"
The World,"cherub-like child holding hourglass, seated on sphere, red background","classical art style, 'Le Monde' text, muted colors",the_world.jpg,"[""The World""]"
Ace of Cups,"Golden chalice, blue flowing water, white background, geometric design","Red accents, pedestal base, minimalist composition",ace_of_cups.jpg,"[""Ace Of Cups"", ""The Ace Of Cups"", ""Cups Of Ace"", ""The Ace Cups"", ""Cups Ace"", ""Ace Cups""]"
2 of Cups,"Caduceus, lion head, angel wings, chalices (cups), pair of figures","Laurel wreaths, flowing robes, hill landscape, numeral 'II'",2_of_cups.jpg,"[""The 2 of Cups"", ""Two of Cups"", ""2 Cups"", ""2 Of Cups"", ""2 of Cups"", ""Cups Of 2"", ""The 2 Cups"", ""The Two of Cups"", ""Cups 2"", ""The 2 Of Cups""]"
3 of Cups,"Three cats in celebratory poses, holding chalices, floral garlands","Playful mood, black-and-white illustration, decorative stars in the background",3_of_cups.jpg,"[""3 Of Cups"", ""Three of Cups"", ""The Three of Cups"", ""3 of Cups"", ""Cups Of 3"", ""The 3 of Cups"", ""The 3 Of Cups"", ""Cups 3"", ""The 3 Cups"", ""3 Cups""]"
