Card Name,General Description,Central Figure,Supporting Elements,Background Details,Art Style,Text and Borders,Mood and Symbolism,Upright Meaning,Reversed Meaning,Keywords,Symbolism,Variations
The Fool,"The card features a whimsical yellow rubber duck perched atop a rocky outcrop. The duck is adorned with playful markings, including a star on its tail and a jester-like hat. A smaller duck follows behind, symbolizing innocence and playfulness.","A large yellow rubber duck, adorned with a jester hat and playful markings, sitting atop a rocky surface.",A smaller rubber duck trailing behind symbolizes curiosity and companionship.,"The background features a clear blue sky, creating a lighthearted and cheerful ambiance.","Realistic and vibrant, with sharp focus on the ducks and subtle gradients in the background.","The card does not feature text or borders, letting the image dominate the design.","The card exudes themes of innocence, exploration, and a carefree attitude. It encourages embracing the unknown with curiosity and joy.","New beginnings, spontaneity, and a leap of faith; embracing the unknown with enthusiasm.","Recklessness, naivety, or hesitation to move forward; a warning to look before you leap.","['Innocence', 'Adventure', 'Curiosity', 'Freedom', 'Playfulness']","The jester hat symbolizes playful exploration, while the smaller duck emphasizes trust and guidance in unfamiliar journeys.","[""The Fool""]"
The Magician,"The card features a serene male figure with 3 ethereal, swirling faces emerging from his head, representing the realms of imagination, intuition, and manifestation.","A male figure with a calm expression, eyes closed in deep concentration. His hands are faintly visible, symbolizing control over unseen forces.","The swirling, ghostly faces emerging from the figure's head, each with distinct features, embody the fluid and transformative nature of the mind and spirit.","A dark, shadowy background with luminous, ghostly figures that create a mystical, otherworldly atmosphere.","Minimalist and evocative, blending realism with abstract, dream-like elements.","'The Magician' is written in a refined white serif font at the bottom, framed within elegant borders. The number 'I' appears at the top.","Represents focus, power, and subtle magic. Urges recognition of 1's ability to transform intentions into reality.","Skill, creativity, willpower, and the ability to manifest 1's desires into the material world.","Manipulation, deceit, poor planning, or an inability to act decisively.","['Focus', 'Power', 'Manifestation', 'Creativity', 'Skill']","The swirling faces represent imagination, intuition, and manifestation. The figure's calm demeanor symbolizes mastery over mind and spirit.","[""The Magician""]"
The High Priestess,"The card features a skeletal figure draped in flowing robes, with a crescent moon crown adorning its head. The golden outlines contrast with the black background, creating an ethereal and mysterious appearance.","A skeletal High Priestess, cloaked in robes and adorned with a crescent moon crown, symbolizing wisdom and the unseen world.",The skeletal face evokes themes of transformation and the veil between life and death. The crescent moon above signifies intuition and the subconscious.,"The black background is scattered with stars, evoking a cosmic and mystical atmosphere, emphasizing connection to higher realms.","Minimalistic and elegant, with golden linework on a black background, creating a stark yet captivating aesthetic.","The text 'the high priestess' appears in a delicate serif font at the bottom of the card, framed by a thin, rectangular golden border.","The card conveys mystery, intuition, and connection to the subconscious. The skeletal figure adds depth, suggesting transformation and the hidden truths of existence.","Intuition, mystery, and the pursuit of hidden knowledge. A connection to the subconscious and the unseen.","Secrets revealed, difficulty in trusting intuition, or a disconnection from the subconscious.","['Intuition', 'Mystery', 'Subconscious', 'Transformation']",The crescent moon represents intuition and the subconscious. The skeletal figure symbolizes the hidden aspects of knowledge and the mysteries of transformation.,"[""The High Priestess""]"
The Empress,"The card portrays a regal white cat seated gracefully on a plush red throne, exuding an aura of abundance and nurturing. The cat wears a floral crown, symbolizing fertility, creativity, and connection to nature, while its robe features patterns of lush red pomegranates and green vines, representing growth and the cycle of life.","A regal cat seated on a throne adorned with intricate patterns. The cat wears a crown made of flowers and has a calm, nurturing expression. It is dressed in a robe covered with pomegranate motifs, symbolizing abundance and fertility.","The background features a flowing river and lush greenery, symbolizing life and growth. A golden sky creates a warm and nurturing atmosphere, while wheat stalks in the foreground add to the themes of fertility and prosperity.","The warm yellow sky and earthy red tones create a serene setting. Lush greenery and flowing water emphasize themes of creativity, fertility, and connection to the natural world.","The whimsical, colorful illustration style evokes charm and a deep connection to nature, with a focus on vibrant and life-affirming details.","The Roman numeral 'III' is displayed at the top, and 'THE EMPRESS' is prominently written at the bottom in bold lettering. A blue border frames the card, adding a sense of calm and stability.","The mood is nurturing, abundant, and harmonious, encouraging the querent to embrace creativity, care for others, and foster growth. The lush imagery reinforces the Empress?s connection to prosperity and life-giving energy.","The Empress represents abundance, nurturing, creativity, and connection to nature. It encourages growth, harmony, and fostering relationships with care and compassion.","Reversed, the card may warn of blocked creativity, neglect, or an overemphasis on material comfort. It calls for balance and reconnection with 1?s emotional or nurturing side.","['Abundance', 'Nurturing', 'Creativity', 'Fertility', 'Harmony']","The floral crown and pomegranate robe signify fertility and creativity. The waterfall represents emotional abundance, while the surrounding wheat and greenery highlight prosperity and growth.","[""The Empress""]"
The Emperor,"The card features a regal figure seated on a throne, surrounded by golden and fiery hues. The Emperor's commanding presence is accentuated by a glowing sword held upright and the Roman numeral 'IV' illuminated above. His red robes and stern expression exude authority and power.","A majestic man with long, dark hair, wearing a red robe. He holds a sword upright in 1 hand, signifying strength and decisiveness.",The glowing sword and Roman numeral 'IV' above his head emphasize his position as a ruler. The golden halo-like circle behind him suggests divinity or universal order.,"The backdrop is filled with fiery tones and abstract patterns, symbolizing energy, control, and a dynamic, commanding environment.","Bold and dramatic, with rich, saturated colors and glowing effects that convey warmth and intensity.","The Roman numeral 'IV' is prominently displayed above the Emperor. The card has no distinct border, allowing the imagery to dominate.","The card represents structure, authority, and control, urging the seeker to embrace discipline and assert their leadership.","Leadership, stability, protection, and taking charge of a situation with wisdom and authority.","Tyranny, rigidity, or a misuse of power, indicating the need to reevaluate 1's approach to control.","['Authority', 'Leadership', 'Stability', 'Order', 'Control']","The sword represents decisive action and justice, while the fiery backdrop conveys power, energy, and transformative leadership.","[""The Emperor""]"
The Hierophant,"A regal, spiritual leader seated on an ornate throne, exuding wisdom.","An older man with a long beard, seated on an ornate throne.","A scepter or staff, alongside gold and red accents on the throne.","A simple, unadorned background emphasizing the figure?s presence.","Hand-drawn style with muted tones and ornate detailing, evoking a medieval tarot aesthetic.",Simple pale border with gold and red throne accents.,"Tradition, authority, and spiritual leadership.","Tradition, spiritual leadership, and adherence to systems.","Rebellion, questioning authority, or breaking free.","['Tradition', 'authority', 'spirituality.']",Spiritual authority and adherence to tradition.,"[""The Hierophant""]"
The Chariot,A dynamic image of imbalance as a tipped chariot dominates the frame.,"No central figure; instead, a tipped chariot takes focus.",A large hand reaches for the tipped chariot.,Bright pink background with stark black linework.,"Bold black linework on a bright pink background, minimalist and dynamic in its aesthetic.",Handwritten uppercase text with minimal border details.,A struggle for balance amidst chaos.,"Determination, control, and overcoming obstacles.","Loss of direction, imbalance, or lack of control.","['Control', 'determination', 'balance.']",A call for balance amidst imbalance.,"[""The Chariot""]"
Strength,"A bold, balanced scene with a poised black panther and garlands.","A black panther poised gracefully, embodying power and control.",A garland of flowers and fruits framing the black panther.,Muted tones with alternating black-and-white border details.,"Vintage, ornate design with bold black-and-white contrast and intricate floral patterns.",Alternating black-and-white striped border for emphasis.,"Inner strength, resilience, and mastery of instincts.","Courage, inner strength, and mastery of instincts.","Weakness, self-doubt, or lack of control.","['Courage', 'resilience', 'mastery.']",Mastery over 1?s instincts and inner strength.,"[""Strength""]"
The Hermit,"The card depicts an enigmatic figure cloaked in intricate patterns, holding a glowing lantern. The lantern radiates light resembling a web, symbolizing guidance and introspection. Surrounding the figure are mysterious, swirling designs with red accents.","An elder-like figure with a serene expression, holding a glowing lantern. The figure is adorned with ornate, flowing garments.","The glowing lantern emits a web-like pattern, representing enlightenment and exploration of the inner self. Red rope accents weave through the scene, symbolizing connection and vitality.","The background is filled with swirling black-and-white patterns, adding a sense of mystery and depth.","Bold monochrome with dynamic red accents, creating a striking contrast. Line work is intricate, with patterns dominating the design.","The Roman numeral 'IX' is displayed prominently at the bottom. The card lacks a distinct border, allowing the art to flow freely.","The card exudes themes of introspection, solitude, and the search for inner wisdom. It encourages retreating from the external to focus on self-discovery.","Inner guidance, wisdom, and introspection; seeking clarity and truth from within.","Isolation, loneliness, or being lost in contemplation; a need to reconnect with others.","['Wisdom', 'Introspection', 'Guidance', 'Solitude', 'Reflection']","The lantern symbolizes enlightenment and the path to self-discovery, while the red rope highlights the connection between introspection and the external world.","[""The Hermit""]"
Justice,"A minimalist yet striking depiction of a figure seated upright, symbolizing impartiality and balance. The figure's calm, expressionless face and bald head emphasize neutrality and focus.","The figure is dressed in abstract, angular clothing in shades of yellow, orange, and red that blend into the circular background, symbolizing the interplay of logic and emotion. They hold the scales of justice in balance, extending from their arms. Their left hand rests lightly on the scales, suggesting conscious decisions actively maintaining equilibrium.","The scales of justice are prominent, symbolizing fairness, accountability, and the delicate balance of choices.","A warm, circular gradient of orange-red tones in the background evokes the sun or a halo, symbolizing enlightenment and truth. Clean white negative space surrounds the central figure, highlighting clarity and purpose.","Modern and geometric, with crisp lines and a minimalist aesthetic. The design emphasizes timeless themes of balance and fairness.","The Roman numeral 'XI' is positioned above the figure, while 'justice' is handwritten at the bottom in elegant cursive. This simple typography complements the card's modern aesthetic.","Themes of fairness, truth, and karmic balance. The scales and neutral figure emphasize introspection, responsibility, and equity. The overall mood is contemplative, urging commitment to truth and ethical decision-making.","Fairness, truth, and responsibility. The card encourages making ethical decisions and maintaining balance in life. It may signify legal matters, moral dilemmas, or the pursuit of justice.","Bias, dishonesty, or imbalance. A warning to reassess fairness in actions and decisions, addressing injustice or lack of accountability.","['Fairness', 'Truth', 'Balance', 'Responsibility', 'Ethics']","The scales symbolize equilibrium and accountability, while the warm background and minimalist design reflect clarity and truth. The figure?s calm demeanor reinforces impartiality and the active pursuit of balance.","[""Justice""]"
